image,pred_label
airplane4-bear3,bird
airplane9-oven2,oven
airplane9-clock1,clock
airplane6-knife1,truck
airplane1-clock1,clock
airplane3-car1,boat
airplane9-car2,car
airplane10-elephant1,elephant
airplane4-cat3,cat
airplane5-boat3,boat
airplane3-dog1,bear
airplane9-knife3,knife
airplane5-bird2,bird
airplane5-dog3,bear
airplane5-chair3,airplane
airplane6-bear3,bear
airplane4-elephant1,elephant
airplane1-elephant1,elephant
airplane8-truck3,keyboard
airplane10-knife3,knife
airplane4-airplane1,airplane
airplane8-clock2,bottle
airplane10-truck1,bottle
airplane4-bottle1,bottle
airplane9-truck1,bottle
airplane7-clock3,clock
airplane7-airplane3,airplane
airplane8-bird1,bottle
airplane10-oven2,oven
airplane5-knife1,knife
airplane8-bicycle3,knife
airplane4-bicycle2,bicycle
airplane6-chair3,airplane
airplane5-bear2,bear
airplane4-truck2,bicycle
airplane7-car1,boat
airplane7-bird3,knife
airplane1-bicycle2,bicycle
airplane4-dog2,dog
airplane10-airplane1,airplane
airplane8-oven2,bottle
airplane10-cat2,bird
airplane8-elephant3,elephant
airplane5-bottle3,bottle
airplane4-car1,car
airplane7-boat2,boat
airplane6-keyboard3,bottle
airplane3-elephant1,elephant
airplane7-truck1,bottle
airplane6-bottle2,bottle
airplane9-keyboard2,keyboard
airplane10-dog3,cat
airplane2-bottle1,bottle
airplane4-boat3,chair
airplane7-bottle3,bottle
airplane3-keyboard2,keyboard
airplane9-boat1,boat
airplane9-airplane2,airplane
airplane4-knife1,bottle
airplane7-keyboard1,knife
airplane3-clock1,clock
airplane3-cat1,cat
airplane5-bicycle1,car
airplane3-airplane2,car
airplane2-dog1,bear
airplane7-cat3,cat
airplane3-chair3,boat
airplane4-bird3,oven
airplane1-chair2,chair
airplane3-oven1,truck
airplane4-keyboard3,bottle
airplane10-boat3,chair
airplane8-chair1,car
airplane2-cat1,cat
airplane10-bear3,bird
clock7-boat3,clock
clock8-truck2,car
clock6-clock2,clock
clock7-car1,boat
clock10-oven2,bottle
clock10-airplane1,clock
clock4-chair1,car
clock8-oven3,clock
clock2-knife1,clock
clock1-clock2,clock
clock8-bear2,clock
clock9-keyboard2,bottle
clock4-elephant2,elephant
clock10-cat1,dog
clock6-chair3,clock
clock7-bicycle1,clock
clock9-airplane1,clock
clock5-bicycle1,clock
clock3-cat1,clock
clock10-bottle1,bottle
clock2-clock3,clock
clock7-cat2,clock
clock3-keyboard3,clock
clock10-boat2,boat
clock7-bear2,clock
clock8-cat1,bear
clock9-bird2,clock
clock10-knife3,oven
clock4-bottle3,clock
clock9-chair3,clock
clock8-boat1,clock
clock2-bottle3,clock
clock4-knife1,clock
clock1-bear1,bear
clock8-keyboard1,clock
clock2-elephant2,elephant
clock8-airplane2,clock
clock6-oven1,oven
clock2-bicycle1,clock
clock10-truck2,bicycle
clock4-oven1,clock
clock6-bird3,clock
clock7-bottle2,bottle
clock10-dog3,bear
clock4-car2,clock
clock10-clock3,clock
clock3-car2,clock
clock3-bird1,clock
clock3-dog2,clock
clock2-dog1,clock
clock7-dog2,clock
clock6-truck3,truck
clock3-bicycle2,clock
clock4-boat3,clock
clock6-knife2,clock
clock4-airplane1,clock
clock7-truck3,car
clock3-elephant3,elephant
clock1-truck3,truck
clock4-bird3,clock
clock1-dog2,bird
clock8-knife1,clock
clock5-elephant2,elephant
clock3-bear3,elephant
clock6-car2,clock
clock10-bird3,clock
clock1-car1,car
clock5-airplane1,clock
clock7-keyboard2,clock
clock9-cat1,clock
clock8-chair2,chair
clock5-oven1,clock
clock1-elephant2,elephant
clock1-boat3,clock
clock5-chair3,clock
clock5-keyboard1,clock
clock2-bear2,clock
clock6-bicycle1,clock
clock5-clock2,clock
clock6-bottle1,bottle
dog5-bear3,bear
dog1-knife3,clock
dog2-bicycle2,bicycle
dog9-bottle1,bottle
dog7-chair2,chair
dog2-bottle2,bottle
dog3-boat1,boat
dog2-dog3,dog
dog10-car3,car
dog3-dog1,bear
dog3-keyboard1,clock
dog3-clock1,clock
dog10-oven2,keyboard
dog4-truck2,truck
dog3-elephant2,elephant
dog10-truck2,truck
dog7-oven2,oven
dog10-airplane1,car
dog6-bicycle1,bottle
dog5-truck2,truck
dog6-cat1,dog
dog4-bottle2,bottle
dog10-clock1,clock
dog9-cat1,dog
dog6-clock1,clock
dog9-chair2,chair
dog7-bird3,knife
dog10-bottle1,bottle
dog8-bear3,bear
dog5-boat3,truck
dog9-boat1,boat
dog2-cat1,dog
dog3-bird2,dog
dog8-keyboard3,bottle
dog10-dog1,bear
dog6-truck2,chair
dog4-chair1,airplane
dog8-bottle2,bottle
dog1-bear1,bear
dog8-chair3,chair
dog5-car3,car
dog9-bicycle3,knife
dog6-elephant2,elephant
dog1-chair1,car
dog4-oven1,bottle
dog9-car1,bottle
dog1-dog2,dog
dog10-bicycle1,car
dog4-cat3,cat
dog3-bear3,bear
dog3-truck2,car
dog1-boat3,clock
dog5-knife2,knife
dog1-airplane3,airplane
dog2-airplane2,car
dog5-elephant1,elephant
dog4-elephant2,elephant
dog1-bird1,dog
dog7-keyboard3,bottle
dog8-dog3,dog
dog10-keyboard2,keyboard
dog4-keyboard2,keyboard
dog8-boat3,chair
dog1-car2,bicycle
dog4-airplane3,airplane
dog1-cat3,dog
dog10-elephant1,elephant
dog3-knife3,knife
dog7-knife3,knife
dog8-clock2,bottle
dog6-bird1,dog
dog5-oven1,chair
dog4-bicycle1,bottle
dog8-oven3,bottle
dog7-car2,bottle
dog9-bear3,bear
dog2-knife3,clock
dog4-bird1,bear
dog9-airplane3,airplane
dog4-clock1,clock
oven9-chair1,car
oven3-airplane1,car
oven7-cat1,bear
oven5-bicycle1,keyboard
oven6-bird1,oven
oven6-knife3,oven
oven7-elephant1,elephant
oven10-cat2,cat
oven2-dog3,knife
oven5-bottle3,bottle
oven7-keyboard1,keyboard
oven9-clock2,car
oven7-bottle1,bottle
oven3-boat3,truck
oven10-airplane2,car
oven9-boat2,boat
oven5-keyboard2,oven
oven9-bear2,bear
oven2-bicycle1,keyboard
oven8-cat3,bird
oven3-knife1,truck
oven6-airplane3,airplane
oven4-truck3,truck
oven10-boat2,oven
oven1-cat1,bear
oven8-keyboard3,keyboard
oven4-elephant3,elephant
oven7-clock2,bottle
oven2-oven3,oven
oven4-bottle2,bottle
oven3-car2,keyboard
oven3-elephant3,elephant
oven2-chair1,car
oven1-boat3,oven
oven10-bicycle1,keyboard
oven7-car3,car
oven5-elephant1,elephant
oven9-keyboard1,keyboard
oven4-chair1,airplane
oven6-bear2,bear
oven3-bottle3,bottle
oven4-bicycle2,chair
oven1-clock3,keyboard
oven7-oven1,oven
oven2-car1,boat
oven2-bottle1,bottle
oven9-car2,car
oven4-keyboard3,bottle
oven6-chair3,airplane
oven2-bear3,bear
oven3-clock3,clock
oven4-dog1,bear
oven3-bear2,bear
oven9-airplane2,car
oven9-oven1,oven
oven6-truck1,car
oven9-bird3,oven
oven10-truck2,truck
oven10-oven3,oven
oven3-truck1,car
oven6-oven3,oven
oven3-cat2,cat
oven9-knife3,knife
oven7-dog2,bottle
oven1-bird3,oven
oven4-knife2,oven
oven4-clock2,car
oven8-knife2,knife
oven5-dog3,dog
oven2-boat3,truck
oven5-airplane1,truck
oven2-bird2,oven
oven10-bear1,bear
oven1-dog3,bear
oven6-elephant2,elephant
oven4-car1,car
oven6-bicycle1,bottle
oven2-truck3,oven
oven8-chair1,airplane
oven5-bird1,bottle
elephant8-airplane3,airplane
elephant6-cat2,cat
elephant7-bear3,bear
elephant10-keyboard1,bottle
elephant5-chair3,airplane
elephant1-bear2,elephant
elephant6-car3,car
elephant6-knife2,oven
elephant4-boat3,chair
elephant4-chair3,chair
elephant1-chair1,car
elephant10-bear1,bear
elephant7-car3,car
elephant4-oven1,truck
elephant9-bicycle2,chair
elephant5-bottle2,bottle
elephant6-bird1,bear
elephant9-airplane2,car
elephant7-clock2,bottle
elephant2-clock1,clock
elephant2-bird1,oven
elephant3-chair1,airplane
elephant5-bicycle3,knife
elephant2-truck2,car
elephant8-bird2,elephant
elephant6-dog2,dog
elephant9-boat3,chair
elephant7-knife2,oven
elephant4-car3,car
elephant2-boat1,bottle
elephant6-truck3,truck
elephant8-elephant1,elephant
elephant8-bicycle3,knife
elephant7-bird1,elephant
elephant2-cat1,cat
elephant6-bicycle1,bottle
elephant5-car1,boat
elephant7-bottle3,bottle
elephant2-bear3,bear
elephant3-knife1,bottle
elephant8-knife2,truck
elephant1-keyboard3,bottle
elephant5-truck1,bottle
elephant4-bird1,elephant
elephant6-bottle2,bottle
elephant8-truck3,truck
elephant5-bear2,bear
elephant9-dog3,bear
elephant9-elephant3,elephant
elephant5-elephant1,elephant
elephant2-bottle3,bottle
elephant9-chair2,bottle
elephant1-car3,car
elephant1-oven2,oven
elephant4-clock3,bottle
elephant8-clock2,clock
elephant3-cat2,cat
elephant8-boat2,boat
elephant4-bicycle2,bicycle
elephant3-truck1,bottle
elephant3-oven1,truck
elephant7-dog1,bear
elephant7-airplane3,oven
elephant8-dog1,bear
elephant2-airplane3,bottle
elephant1-airplane2,bicycle
elephant10-knife3,knife
elephant10-elephant1,elephant
elephant9-clock3,clock
elephant8-oven3,knife
elephant1-boat2,boat
elephant6-oven1,oven
elephant2-elephant3,elephant
elephant1-dog2,dog
elephant7-cat1,cat
elephant3-keyboard2,bottle
elephant7-keyboard3,bottle
elephant2-keyboard3,bottle
elephant8-cat1,cat
elephant1-bottle1,bottle
bear2-cat2,cat
bear7-bicycle2,bicycle
bear5-bottle1,bottle
bear2-car2,bottle
bear3-chair2,chair
bear1-clock2,clock
bear10-bottle1,bottle
bear10-knife2,knife
bear5-airplane3,knife
bear3-bird3,oven
bear3-keyboard2,keyboard
bear4-keyboard3,bottle
bear7-oven3,oven
bear1-elephant1,elephant
bear10-oven1,truck
bear5-oven3,clock
bear7-bear2,bear
bear1-bird2,bear
bear10-truck1,oven
bear8-bicycle3,elephant
bear3-dog3,bear
bear4-truck3,truck
bear8-knife3,knife
bear6-cat3,cat
bear9-bottle2,bottle
bear10-car2,boat
bear3-car2,bottle
bear2-airplane1,airplane
bear10-chair2,keyboard
bear10-keyboard3,bottle
bear6-bottle3,bottle
bear4-cat3,bear
bear2-dog1,bear
bear6-car2,boat
bear2-bird3,bear
bear5-chair1,car
bear8-boat2,boat
bear9-keyboard3,keyboard
bear6-bird2,bear
bear4-knife1,chair
bear7-clock1,clock
bear8-truck3,car
bear8-bear1,bear
bear2-oven1,truck
bear9-boat2,boat
bear6-bear1,bear
bear4-car3,car
bear3-airplane1,airplane
bear3-truck3,truck
bear1-bicycle3,elephant
bear4-oven2,oven
bear9-dog1,bear
bear10-clock1,clock
bear8-airplane1,airplane
bear4-elephant2,elephant
bear10-cat2,cat
bear2-elephant1,elephant
bear8-dog1,bear
bear5-bird1,bear
bear6-boat3,clock
bear7-dog3,bear
bear9-knife2,chair
bear1-airplane3,truck
bear3-bicycle2,bicycle
bear4-boat2,boat
bear2-keyboard2,keyboard
bear2-knife2,bottle
bear10-elephant1,elephant
bear1-bear3,bear
bear3-cat1,cat
bear8-bottle1,bottle
bear8-elephant2,elephant
bear4-clock3,clock
bear7-truck1,bottle
bear10-bear2,bear
bear1-chair2,chair
bear6-chair1,car
bear6-clock1,clock
bear5-bicycle3,knife
bear5-boat2,boat
car10-bicycle2,car
car4-car2,car
car4-clock1,clock
car4-oven2,keyboard
car6-bicycle3,car
car8-cat1,cat
car8-dog1,dog
car5-cat1,bear
car7-elephant3,elephant
car5-keyboard3,car
car6-boat1,boat
car3-truck1,car
car2-knife3,knife
car10-keyboard2,keyboard
car4-bird1,bottle
car6-truck3,truck
car1-oven3,oven
car3-bird2,car
car9-keyboard2,keyboard
car5-bottle1,clock
car7-bird3,car
car1-airplane1,car
car7-clock1,clock
car3-bottle3,bottle
car8-airplane3,airplane
car9-truck3,car
car8-clock2,car
car9-bicycle2,car
car1-clock2,car
car6-chair3,boat
car8-bear1,bear
car6-elephant3,elephant
car4-elephant3,elephant
car7-airplane2,car
car6-bear1,bear
car5-knife2,truck
car7-keyboard3,car
car10-car1,car
car9-knife1,car
car8-knife2,knife
car1-car2,car
car3-boat1,car
car8-boat3,car
car2-car3,car
car3-elephant3,elephant
car4-boat1,boat
car1-keyboard2,keyboard
car8-chair1,car
car10-bottle3,bottle
car1-chair3,airplane
car5-oven2,car
car6-knife1,bottle
car9-clock2,car
car3-dog2,dog
car8-bicycle2,car
car7-dog3,dog
car7-bear1,bear
car7-oven2,keyboard
car5-bear3,bear
car7-car1,car
car9-cat1,bear
car4-bottle1,bottle
car9-bird1,bottle
car4-bear3,bear
car7-boat3,car
car10-elephant2,elephant
car2-chair1,car
car5-airplane3,car
car6-bottle1,bottle
car4-bicycle3,bottle
car10-dog1,bear
car2-bird3,airplane
car5-truck3,car
car3-oven3,oven
car8-truck3,car
car4-cat3,bottle
car3-airplane3,airplane
car10-chair1,car
car2-cat3,bottle
car1-dog2,bird
keyboard10-car1,car
keyboard3-clock3,clock
keyboard4-keyboard2,bottle
keyboard9-bear2,bear
keyboard8-dog3,bear
keyboard9-bicycle2,bicycle
keyboard8-truck3,car
keyboard8-keyboard2,keyboard
keyboard9-keyboard2,car
keyboard9-chair2,chair
keyboard3-elephant2,elephant
keyboard7-truck2,truck
keyboard8-airplane2,keyboard
keyboard5-keyboard1,keyboard
keyboard7-clock3,keyboard
keyboard5-dog3,bear
keyboard6-bicycle1,bottle
keyboard9-boat2,boat
keyboard1-car3,car
keyboard2-elephant1,elephant
keyboard4-knife2,bottle
keyboard6-dog2,cat
keyboard2-knife1,keyboard
keyboard4-bird1,bird
keyboard8-oven1,keyboard
keyboard6-car2,boat
keyboard3-car2,boat
keyboard4-oven2,clock
keyboard7-bear2,bear
keyboard4-truck3,truck
keyboard4-clock2,keyboard
keyboard5-bird3,keyboard
keyboard3-cat1,cat
keyboard5-airplane3,keyboard
keyboard9-truck3,keyboard
keyboard1-airplane2,car
keyboard2-clock1,clock
keyboard7-dog1,bear
keyboard5-bottle1,bottle
keyboard1-dog3,bear
keyboard10-boat2,clock
keyboard7-bottle1,bottle
keyboard6-boat2,boat
keyboard5-bicycle1,car
keyboard3-bird3,bird
keyboard4-cat2,cat
keyboard8-cat3,keyboard
keyboard1-bear2,bear
keyboard1-clock1,clock
keyboard6-elephant1,elephant
keyboard7-chair3,airplane
keyboard7-car3,car
keyboard3-bicycle2,chair
keyboard5-oven2,keyboard
keyboard7-boat2,boat
keyboard2-bicycle3,knife
keyboard10-oven3,clock
keyboard5-bear3,bear
keyboard2-bottle1,bottle
keyboard8-chair2,chair
keyboard1-elephant3,elephant
keyboard6-chair1,airplane
keyboard1-bird2,bird
keyboard7-oven2,keyboard
keyboard6-knife2,knife
keyboard9-cat1,cat
keyboard10-airplane3,airplane
keyboard3-boat1,boat
keyboard6-bear2,bear
keyboard5-cat1,cat
keyboard7-knife1,knife
keyboard9-bird1,bird
keyboard9-elephant2,elephant
keyboard5-knife2,knife
keyboard10-keyboard1,keyboard
keyboard10-truck1,bottle
keyboard1-chair2,bottle
keyboard6-bottle2,bottle
keyboard9-airplane3,airplane
keyboard4-bottle2,bottle
