image,response,timestamp,pred_label,pred_conf,pred_llm_judge
bicycle4-keyboard3,A close up of a bike gear.,,bicycle,0.99997973,C
bicycle8-bear2,A blurry photo of a bicycle.,,bicycle,0.99999976,C
bicycle1-dog3,A blurry photo of a bicycle.,,bicycle,0.99999976,C
bicycle7-oven1,A bicycle is shown in a blurry photo.,,bicycle,1.0,C
bicycle9-airplane2,A yellow and black bicycle is shown in a blurry photo.,,bicycle,0.99999976,C
bicycle4-chair2,A staircase with a wooden railing and multiple chairs.,,chair,0.9997701,I
bicycle10-airplane2,A blue bicycle with a yellow wheel.,,bicycle,1.0,C
bicycle4-bottle1,"A bicycle is surrounded by many bottles, creating a unique and colorful scene.",,bottle,0.95415896,C
bicycle9-bottle1,A bike is surrounded by many bottles and cans.,,bottle,0.9920048,C
bicycle4-oven3,A blurry photo of a bike.,,bicycle,0.99998343,C
bicycle2-car2,"A colorful car and motorcycle are in the foreground, with a blurry background.",,car,0.9972838,G
bicycle1-bicycle3,A silver bike with a basket on the front.,,bicycle,1.0,C
bicycle10-elephant2,A bicycle wheel is shown in a close-up view.,,bicycle,1.0,C
bicycle9-keyboard3,Two pieces of jewelry on a table.,,clock,0.747958,X
bicycle8-boat1,"A bike is shown in a blurry, colorful, and abstract manner.",,bicycle,0.99999,C
bicycle8-clock3,A clock is shown with a bicycle in the background.,,clock,0.93450546,"J, C"
bicycle7-truck3,A pair of glasses with a bike in the background.,,bicycle,0.99999845,C
bicycle9-bird3,A black and white photo of a bicycle.,,bicycle,0.9999999,C
bicycle3-keyboard1,A black and white image of a bicycle.,,bicycle,0.99999976,C
bicycle1-boat3,"A colorful, abstract image of a bicycle.",,bicycle,1.0,C
bicycle3-elephant2,A bike is parked on a dirt road.,,bicycle,0.9995542,C
bicycle9-cat3,A bicycle with a basket on the front.,,bicycle,1.0,C
bicycle4-clock3,A clock with a bicycle on it.,,clock,0.9541493,"J, C"
bicycle4-airplane1,A blurry image of a bicycle.,,bicycle,0.99999976,C
bicycle1-bear1,A blurry picture of a bicycle.,,bicycle,0.99999976,C
bicycle5-car3,A red motorcycle is parked in front of a red car.,,car,0.9272548,G
bicycle9-knife3,A pair of bicycle wheels are shown in the image.,,bicycle,1.0,C
bicycle9-chair1,A bike is shown in a blurry image with a red background.,,bicycle,0.9999876,C
bicycle8-truck1,A red bicycle with a person on it.,,bicycle,1.0,C
bicycle2-dog1,A painting of a horse and a bicycle.,,bicycle,0.9998553,C
bicycle3-bird1,A bicycle is shown in a blurry photo.,,bicycle,1.0,C
bicycle2-knife2,A pair of glasses with a black frame and a red lens.,,bicycle,0.8166847,X
bicycle9-bear1,A picture of a bike with a basket on the front.,,bicycle,0.9999999,C
bicycle3-truck3,A yellow and blue object with a yellow background.,,airplane,0.96779567,X
bicycle7-cat1,A bicycle with a leopard print seat.,,bicycle,0.99998343,C
bicycle1-bird1,A blue bicycle.,,bicycle,1.0,C
bicycle5-keyboard3,A close up of a cell phone.,,airplane,0.9776767,X
bicycle8-bird2,A bicycle is shown in a blurry photo.,,bicycle,1.0,C
bicycle10-dog3,A blurry picture of a bicycle.,,bicycle,0.99999976,C
bicycle5-elephant1,A drawing of a bicycle with a rider in a black and white style.,,bicycle,0.9999995,C
bicycle7-clock3,A clock with a bicycle wheel in the middle.,,clock,0.9992693,"J, C"
bicycle9-car1,A colorful painting of a bicycle and a car.,,bicycle,0.9961901,"G, I"
bicycle1-airplane2,A bicycle with a blue seat and yellow frame.,,bicycle,0.99999964,C
bicycle7-knife2,A bicycle with a basket on the front.,,bicycle,1.0,C
bicycle7-elephant2,A bicycle with a basket on the front.,,bicycle,1.0,C
bicycle5-oven3,A blurry image of a phone booth with a phone inside.,,airplane,0.9673826,X
bicycle2-bird3,A bicycle with a basket is shown in a blurry photo.,,bicycle,1.0,C
bicycle10-boat3,A bicycle with a blue wheel.,,bicycle,1.0,C
bicycle8-chair2,A wooden bicycle with a wooden seat and wooden handlebars.,,bicycle,0.99987817,C
bicycle6-dog2,A bicycle with a person riding it.,,bicycle,1.0,C
bicycle10-clock2,A bicycle wheel is shown in a close-up view.,,bicycle,1.0,C
bicycle4-truck3,A yellow bike with a black seat.,,bicycle,0.9998554,C
bicycle6-boat2,"A bicycle with a sidecar is shown in a colorful, abstract image.",,bicycle,0.9999975,C
bicycle4-cat1,A bike with a fox painted on it.,,bicycle,0.9994529,C
bicycle7-bear2,A bicycle with a basket is shown in a blurry photo.,,bicycle,1.0,C
bicycle4-car2,A bunch of motorcycles in a blurry picture.,,truck,0.35094967,X
bicycle5-bear1,A picture of two bicycles with a blurry background.,,bicycle,0.9999969,C
bicycle1-bottle3,A bicycle with a basket on it.,,bicycle,1.0,C
bicycle1-oven1,A black and white image of a bicycle.,,bicycle,0.99999976,C
bicycle1-clock3,A clock with a bicycle theme.,,clock,0.99875045,J
bicycle4-boat1,A colorful bike with a blue seat.,,bicycle,0.99999106,C
bicycle5-dog2,A bicycle with a basket on the front.,,bicycle,1.0,C
bicycle3-oven3,A blurry image of a phone and a computer.,,airplane,0.97247475,X
bicycle2-keyboard2,A close up of a cell phone.,,airplane,0.9776767,X
bicycle4-bicycle3,A black bicycle with silver accents.,,bicycle,1.0,C
bicycle5-chair2,A wooden bike with a basket on the front is parked in front of a row of chairs.,,bicycle,0.74601185,"C, I"
bicycle5-cat1,A picture of a bike with a cat in the basket.,,bicycle,0.93335754,"C, H"
bicycle6-car2,A blurry image of a motorcycle with a red seat.,,airplane,0.5620533,G
bicycle1-knife3,A bike rack with bikes and a chair.,,chair,0.8660274,"C, I"
bicycle6-cat1,A picture of a bear on a bike.,,bear,0.61304486,"B, C"
bicycle6-bicycle3,A silver bike is shown in a close-up view.,,bicycle,0.9999951,C
bicycle1-elephant2,A black and white photo of a bicycle.,,bicycle,0.9999999,C
bicycle6-airplane2,A blue and yellow bike with a yellow seat.,,bicycle,0.99996805,C
bicycle2-bicycle1,A bicycle with a basket on the front.,,bicycle,1.0,C
bicycle5-bottle3,A green bicycle is surrounded by a bunch of green bottles.,,bottle,0.94883806,C
bicycle1-truck1,A red bicycle with a basket on the front.,,bicycle,1.0,C
bicycle7-bicycle2,A bicycle with a basket is parked in front of a building.,,bicycle,1.0,C
bicycle2-bottle1,A bunch of bottles are stacked on top of each other.,,bottle,1.0,F
bicycle4-knife3,A bicycle seat and pedal are shown in a blurry photo.,,bicycle,0.99999535,C
chair8-bicycle3,A chair with a red seat and metal legs.,,chair,1.0,I
chair1-airplane2,A chair with yellow and blue colors.,,chair,1.0,I
chair4-bear2,A chair with a furry seat.,,chair,0.99999976,I
chair10-car2,A blurry image of a car with a red hood.,,car,0.9952691,G
chair9-bicycle3,A silver chair with wheels.,,chair,0.9999999,I
chair5-bicycle1,A chair made of metal and plastic.,,chair,1.0,I
chair2-bear2,A black and white image of a chair.,,chair,0.99999976,I
chair7-bottle1,A chair is filled with many bottles.,,chair,0.74577034,"I, F"
chair1-truck3,A blurry image of a chair.,,chair,0.99999976,I
chair5-knife3,A collection of scissors in a blurry photo.,,knife,0.9985959,X
chair3-bicycle3,A chair made of bicycle parts.,,chair,0.98813546,"I, C"
chair1-chair1,A row of pink chairs with red seats.,,chair,1.0,I
chair8-boat1,A chair with a red seat and blue legs.,,chair,1.0,I
chair9-bird3,A chair with a brown seat and black arms.,,chair,1.0,I
chair10-clock1,A chair with a clock on it.,,clock,0.60704094,"I, J"
chair3-car3,A red car is parked next to a white car.,,car,0.9998342,G
chair7-knife2,A hand holding a book.,,bottle,0.9453306,X
chair1-cat3,A blurry image of a chair with a red seat.,,chair,0.99999964,I
chair4-cat2,A chair is visible in the image.,,chair,1.0,I
chair8-car1,A blurry picture of a car.,,car,0.99937916,G
chair5-clock2,A chair with a person sitting in it.,,chair,1.0,I
chair2-knife1,A chair with a wooden seat and metal legs.,,chair,1.0,I
chair4-truck2,A red chair is reflected in a mirror.,,chair,0.99999976,I
chair5-bird1,A blue chair with a blue cushion on it.,,chair,1.0,I
chair7-truck3,A yellow chair with a blue seat.,,chair,1.0,I
chair1-clock2,A clock with a red handle on it.,,clock,1.0,J
chair7-cat1,A wooden chair with a brown seat.,,chair,1.0,I
chair3-bottle3,A green chair made of plastic bottles.,,chair,0.7220922,I
chair4-chair3,A blue chair with a reflection of other chairs in it.,,chair,0.99999964,I
chair7-chair1,Pink seats in a row.,,chair,0.99296427,X
chair9-keyboard2,A keyboard with a black and white keyboard.,,keyboard,1.0,M
chair8-elephant1,A chair made of stone.,,chair,1.0,I
chair2-boat1,A chair with a red seat and blue legs.,,chair,1.0,I
chair3-airplane2,A blue chair with yellow accents.,,chair,1.0,I
chair2-keyboard2,A person is walking in front of a keyboard.,,keyboard,1.0,M
chair1-elephant1,"A gray, textured, and wrinkled chair.",,chair,1.0,I
chair1-bear1,A blurry picture of a person.,,airplane,0.96560085,X
chair8-airplane1,"A chair is shown in the image, but it is blurry and appears to be a collage of different images.",,chair,0.99999785,I
chair10-airplane2,A blue chair with a yellow seat.,,chair,1.0,I
chair5-bottle3,A green chair with a black seat and a green base is surrounded by a bunch of paper.,,chair,0.9999993,I
chair3-dog2,A wooden chair with a furry seat.,,chair,0.9999999,I
chair7-bird1,A blue chair with a white wooden frame.,,chair,0.9999994,I
chair1-dog1,A chair with a furry seat.,,chair,0.99999976,I
chair7-boat3,"A colorful, abstract chair with a red frame.",,chair,0.9999993,I
chair6-bird2,A black cat is sitting on a chair.,,chair,0.89847106,"H, I"
chair3-knife1,A painting of a person's hands holding a tool.,,knife,0.9293991,X
chair5-boat3,A colorful office chair with a red seat.,,chair,1.0,I
chair9-chair3,A blue chair with a reflection of another chair in it.,,chair,0.9999989,I
chair10-bottle3,A green chair with a lot of writing on it.,,chair,0.9999994,I
chair8-clock3,A chair made of clocks.,,chair,0.8710881,"I, J"
chair1-oven3,A bunch of electronics are stacked on top of each other.,,keyboard,0.49794704,X
chair10-bicycle1,A chair made of metal and glass.,,chair,0.99999976,I
chair5-truck3,A colorful image of a chair with a table in the background.,,chair,0.99999917,I
chair7-clock3,A chair with clocks on it.,,chair,0.8362591,"I, J"
chair9-boat2,A black and orange chair is on a metal stand.,,chair,0.9999999,I
chair9-dog2,A chair with a furry seat and wheels.,,chair,0.99999964,"I, H"
chair6-truck2,A red and pink chair with a black seat.,,chair,1.0,I
chair6-dog1,A chair with a furry seat.,,chair,0.99999976,I
chair9-bear1,A brown and white furry object.,,dog,0.98524505,H
chair9-bottle3,A green bottle is sitting on a chair.,,bottle,0.99017113,"F, I"
chair6-elephant2,A chair with a leather seat and metal legs.,,chair,1.0,I
chair7-airplane1,A blurry image of a hat.,,airplane,0.44095737,X
chair10-bird3,A chair with a person sitting in it.,,chair,1.0,I
chair9-elephant1,A chair made of leather with a metal frame.,,chair,0.9999999,I
chair4-keyboard2,A close up of a keyboard.,,keyboard,1.0,M
chair8-oven1,"A chair is in the foreground, with a table in the background.",,chair,1.0,I
chair7-car2,A red and yellow chair with a black seat.,,chair,1.0,I
chair5-oven2,A black office chair with wheels.,,chair,0.99999964,I
chair8-chair3,A blue and white chair with a blue seat.,,chair,1.0,I
chair7-elephant1,A chair made of leather.,,chair,1.0,I
chair5-cat3,A chair with a flaming fire in it.,,chair,0.9999994,I
chair5-car1,A colorful and distorted image of a car with a hood up.,,car,0.9937499,G
chair10-oven1,A black chair with a silver metal frame.,,chair,0.9999999,I
chair5-keyboard2,A black keyboard with keys.,,keyboard,1.0,M
chair4-oven2,A black chair with a wooden seat.,,chair,1.0,I
chair8-keyboard3,A blurry photo of a keyboard.,,keyboard,0.99999976,M
chair8-bear1,A chair with a wooden frame.,,chair,0.9999999,I
chair10-dog1,A chair with a furry texture.,,chair,1.0,I
chair10-cat1,A chair with a brown seat and a white frame.,,chair,0.99999917,I
chair8-knife2,A painting of a knife with a handle.,,knife,0.9999999,N
truck3-bicycle1,"A car is shown in a distorted, blurry image.",,car,0.99831724,G
truck7-elephant2,A wooden drawing of a building with a truck in front of it.,,truck,0.9999428,X
truck7-boat1,A colorful image of a truck.,,truck,1.0,P
truck4-boat3,"A truck is shown in a colorful, distorted photo.",,truck,0.9999999,P
truck10-truck3,A blue and yellow truck is parked.,,truck,1.0,P
truck9-chair3,A blue chair with a black seat.,,chair,1.0,I
truck7-bird2,A white semi truck is parked on the side of the road.,,truck,0.9999987,"G
P"
truck2-car3,A red truck with a ladder on the back is parked in a lot.,,truck,0.99999976,P
truck8-dog3,A toy truck is shown in a blurry photo.,,truck,0.99999464,P
truck2-bird2,A black and white photo of a truck.,,truck,0.9999999,P
truck6-boat2,A red truck with a large water tank on the back.,,truck,0.9999999,P
truck6-dog2,A truck with the word water on it.,,truck,0.99999905,P
truck3-knife2,A toy car made of paper is shown.,,car,0.99462503,G
truck10-car3,A red and silver car with a trailer attached.,,car,0.7511244,G
truck9-bottle2,Bottles of wine are stacked on top of each other.,,bottle,1.0,F
truck3-oven2,A black truck with a flatbed is parked in a lot.,,truck,0.99999964,P
truck4-airplane3,A blue truck with a silver hood and a chrome grill.,,truck,0.99999905,P
truck4-bottle2,A bunch of wine bottles are piled on top of each other.,,bottle,0.9999999,F
truck6-knife2,"A truck with the word ""water"" on the side is parked in front of a building.",,truck,0.9999347,P
truck2-oven3,A blurry picture of a microwave oven.,,oven,0.9995999,O
truck1-bear1,A truck is parked in front of a building.,,truck,1.0,P
truck6-clock2,"A truck with the word ""water"" on it.",,truck,0.9999976,P
truck1-chair2,A large group of chairs are arranged in a room.,,chair,1.0,I
truck1-dog1,A truck is driving down a road with a blurry background.,,truck,1.0,P
truck5-cat3,A bus with a zebra pattern on it.,,truck,0.93198997,X
truck6-bear2,A blurry photo of a truck with the word water on it.,,truck,0.9999808,P
truck4-oven2,A truck with a flatbed is parked in a parking lot.,,truck,0.9999999,P
truck8-elephant1,A truck is shown in a close up.,,truck,1.0,P
truck8-cat2,A blurry image of a truck.,,truck,1.0,P
truck2-airplane3,A truck with a tank on the back.,,truck,1.0,P
truck2-keyboard1,A black truck with a white logo on the front.,,truck,1.0,P
truck5-airplane2,A yellow and blue train on tracks.,,airplane,0.8350747,X
truck6-truck2,A red car with a water tank on the back.,,car,0.98648095,G
truck4-bear1,A bunch of brown fur.,,dog,0.9361481,B
truck2-boat3,A red fire truck is parked on a street.,,truck,0.99999356,P
truck9-boat3,A horse is painted on the side of a truck.,,truck,0.9997824,X
truck2-elephant1,A truck is shown in a carving on a rock.,,truck,0.9999999,P
truck5-bird2,"A toy truck with the words ""army transport"" written on it.",,truck,0.99999964,P
truck1-cat1,A cat is laying on a couch.,,cat,0.9999999,H
truck3-dog3,A dog is sitting on a table with a chocolate bar.,,dog,0.9999654,H K I
truck6-bottle3,Water bottles are stacked on top of each other.,,bottle,1.0,F
truck1-car3,A red fire truck is parked in front of a building.,,truck,0.9999639,P
truck6-cat2,A truck with the word water on it.,,truck,0.99999905,P
truck9-airplane2,A white truck with a yellow stripe is parked in the snow.,,truck,0.99999976,P
truck7-oven2,A large truck is parked in a lot.,,truck,0.9999999,P
truck3-bird2,A truck with a tank on the back.,,truck,1.0,P
truck3-chair2,A large group of wooden chairs are stacked together.,,chair,0.9999999,I
truck1-bird1,A truck is driving down a road.,,truck,1.0,P
truck2-chair1,A red chair with a truck in the background.,,truck,0.6926553,"I, P"
truck7-chair2,A truck is driving down a street with chairs on the back.,,truck,0.99998295,"G, I"
truck6-bicycle1,"A colorful, abstract image of a truck with the word ""water"" on it.",,truck,0.9999666,P
truck7-keyboard3,A close up of a remote control.,,airplane,0.97371745,X
truck10-elephant3,"A truck is shown from the side, with a person in the driver's seat.",,truck,1.0,P
truck1-knife1,A truck is parked on a street.,,truck,1.0,P
truck3-cat1,A brown dog is laying on a couch.,,dog,0.9999913,"H, I"
truck8-bottle2,A close up of a bottle of wine with a bunch of other bottles in the background.,,bottle,1.0,F
truck9-truck3,A large truck is parked in front of a building.,,truck,1.0,P
truck3-clock3,A bunch of clocks are on a table.,,clock,1.0,J
truck5-truck1,A red truck with a red trailer is parked on the road.,,truck,0.9999999,P
truck10-bicycle1,A car is shown with a reflection of a motorcycle in the side mirror.,,car,0.97865367,G
truck6-oven3,A blurry picture of a machine with buttons and a screen.,,airplane,0.94113296,X
truck3-keyboard3,A key and a coin are on a piece of white fabric.,,clock,0.7062811,X
truck5-knife3,A bunch of scissors hanging on a wall.,,knife,0.9640949,X
truck4-knife1,A collection of old and rusty tools.,,knife,0.9207116,X
truck3-car3,A red car is parked in front of a truck.,,truck,0.99982965,"G, P"
truck5-dog3,A toy truck is shown in a blurry photo.,,truck,0.99999464,P
truck10-airplane1,A blurry photo of a van.,,truck,0.6139995,G
truck2-clock1,A clock made of clocks.,,clock,1.0,J
truck7-truck2,A red and white truck with a chrome grill.,,truck,0.99999976,P
truck3-bear3,A brown leather item with a Ford logo on it.,,car,0.66337484,G
truck8-keyboard2,A close up of a keyboard with the numbers 1 through 9 visible.,,keyboard,0.99999964,M
truck2-bottle3,A green truck is surrounded by a bunch of money.,,truck,0.9999908,P
truck10-clock1,A clock is on the side of a truck.,,clock,0.59404904,"J, P"
truck5-keyboard1,"A toy train with the word ""protomorph"" on it.",,truck,0.44687843,X
truck1-bicycle3,A truck with a trailer attached is driving down a street.,,truck,1.0,P
truck2-bicycle2,A blurry image of an old truck.,,truck,0.9999995,P
truck5-car1,A red truck is parked in a lot.,,truck,0.9999989,P
truck7-bear2,A large white semi truck is parked in front of a building.,,truck,0.9999988,G
truck9-elephant1,A horse is standing next to a truck.,,truck,0.99442333,P
truck1-clock3,A truck with many clocks on it.,,truck,0.99909174,P
bottle6-dog3,A blurry picture of a dog.,,dog,0.999923,K
bottle1-clock1,A bottle of wine with a clock on the front.,,bottle,0.98185456,"F, J"
bottle1-keyboard3,A black cat is sitting in a room.,,cat,0.9999567,H
bottle1-car1,A bottle of wine is shown in a blurry picture.,,bottle,0.9999999,F
bottle6-bicycle3,A bottle of soda is shown in a close-up view.,,bottle,1.0,F
bottle5-bird3,A bottle of beer.,,bottle,1.0,F
bottle8-bottle3,A bottle of beer with the number 10 on it.,,bottle,1.0,F
bottle3-bird1,A blue bottle wrapped in plastic.,,bottle,1.0,F
bottle7-airplane3,A blue and white image of a face.,,airplane,0.8877533,X
bottle8-keyboard3,A close up of a keyboard with black keys.,,keyboard,1.0,M
bottle3-boat3,A bottle of beer with a label on it.,,bottle,1.0,F
bottle9-bicycle1,A bottle of Tapelle water is surrounded by a colorful and abstract background.,,bottle,1.0,F
bottle10-boat3,A bottle of beer with a red and green label.,,bottle,1.0,F
bottle4-car3,A red bottle with a black cap is surrounded by a bunch of cars.,,bottle,0.999995,F
bottle9-truck1,A bottle of red liquid with a red cap.,,bottle,1.0,F
bottle4-bicycle1,A bottle of Coca-Cola is made of metal and surrounded by other metal objects.,,bottle,1.0,F
bottle6-boat3,A bottle of water is in the center of the image with a colorful background.,,bottle,1.0,F
bottle4-oven2,A bottle of soda is shown in a close-up.,,bottle,1.0,F
bottle5-cat1,A bottle of wine is shown in a blurry photo.,,bottle,0.99999976,F
bottle1-dog2,A bottle of wine is shown in a blurry picture.,,bottle,0.9999999,F
bottle9-bottle1,A bottle is surrounded by many other bottles.,,bottle,1.0,F
bottle2-knife3,A bottle of beer.,,bottle,1.0,F
bottle7-elephant2,A close up of a wooden surface with a crevice in it.,,airplane,0.9305937,X
bottle3-airplane2,A bottle of beer is shown in a blue and yellow background.,,bottle,1.0,F
bottle7-boat3,"A colorful, abstract image of a bottle.",,bottle,1.0,F
bottle2-elephant1,A bottle of wine is shown with a cracked and rough surface.,,bottle,1.0,F
bottle1-cat3,A bottle of wine with a brown label.,,bottle,1.0,F
bottle2-chair3,A bottle of beer is in the middle of a blue and white pattern.,,bottle,1.0,F
bottle6-oven3,A cell phone is inside a machine.,,airplane,0.97463983,X
bottle5-chair1,A row of red chairs.,,chair,1.0,I
bottle9-elephant2,A bottle of wine with a cork in it.,,bottle,1.0,F
bottle8-bird1,A bottle of beer with a blue label.,,bottle,1.0,F
bottle9-cat2,A bottle of wine.,,bottle,1.0,F
bottle6-airplane1,A close up of a bottle with writing on it.,,bottle,1.0,F
bottle5-elephant1,A bottle of wine with a crocodile skin texture.,,bottle,1.0,F
bottle2-car2,A blurry image of a car with a red hood.,,car,0.9952691,G
bottle1-bear1,A brown and white image of a cat.,,cat,0.9999963,H
bottle5-knife1,A bottle cap with a screw in it.,,bottle,1.0,F
bottle4-truck1,A red bottle of Coca Cola with a red cap.,,bottle,1.0,F
bottle9-car3,A bottle of Grappa liquor is shown in a blurry and colorful image.,,bottle,0.9999999,F
bottle8-dog2,A bottle of beer with a label.,,bottle,1.0,F
bottle3-cat3,A bottle of beer.,,bottle,1.0,F
bottle10-clock2,A bottle of orange juice with a clock on it.,,bottle,0.9258092,"F, J"
bottle7-keyboard2,A close up of a keyboard with a blue key.,,keyboard,1.0,M
bottle1-bird3,A person is standing in front of a bottle.,,bottle,1.0,F
bottle3-bottle3,A green bottle with Chinese writing on it.,,bottle,1.0,F
bottle5-boat1,A bottle of beer with a blue and red label.,,bottle,1.0,F
bottle5-keyboard2,A keyboard with a key missing.,,keyboard,1.0,M
bottle7-bear1,A blurry picture of a bear.,,bear,0.9999993,B
bottle4-dog2,A bottle of beer with a brown label.,,bottle,1.0,F
bottle7-clock1,A clock with a face on it.,,clock,1.0,J
bottle5-oven2,A black cell phone is shown in a close-up shot.,,airplane,0.9942373,X
bottle3-knife3,A bottle of wine is shown in a blurry photo.,,bottle,0.99999976,F
bottle10-bear2,A bottle of Dramuie liquor is on a white fur.,,bottle,1.0,F
bottle7-oven2,A blurry picture of a cityscape.,,airplane,0.9598972,X
bottle6-bear2,A bottle of soda with a black cap.,,bottle,1.0,F
bottle6-knife3,A metal pipe is standing in the corner of a room.,,clock,0.74644154,X
bottle6-bird1,A blue bottle with a black cap.,,bottle,1.0,F
bottle6-bottle3,A green bottle with a white label.,,bottle,1.0,F
bottle1-chair2,A blurry image of chairs.,,chair,0.9999994,I
bottle3-bicycle3,A bottle of wine with a purple label.,,bottle,0.9999999,F
bottle5-airplane1,A blurry image of a bottle of Coca-Cola.,,bottle,0.9999987,F
bottle9-keyboard1,A bottle of wine with a black label.,,bottle,1.0,F
bottle4-airplane1,A blurry image of a Coca-Cola bottle.,,bottle,0.99999833,F
bottle3-bear2,A bottle of wine is shown with a blanket behind it.,,bottle,0.99999976,F
bottle8-knife1,A cell phone is shown in the image.,,airplane,0.98730844,X
bottle8-elephant3,A bottle of beer is on a leather surface.,,bottle,1.0,F
bottle5-clock3,A bottle of wine is shown with a clock face on it.,,bottle,0.89846855,"F, J"
bottle3-chair3,A blue chair with a blue seat.,,chair,1.0,I
bottle10-car1,A bottle of alcohol with a car on the label is surrounded by various car models.,,bottle,0.99999225,G
bottle2-bottle3,A green bottle with Chinese symbols on it.,,bottle,0.9999999,F
bottle6-chair2,A wooden chair with a bottle on top of it.,,bottle,0.9909724,"I, F"
bottle2-clock1,A bottle of beer with a clock on it.,,bottle,0.99009156,"F, J"
bottle10-truck3,A bottle of liquor with a blue label.,,bottle,1.0,F
